cycle,state,district,margin
1988,AK,00,23.32
1988,AL,01,24.74
1988,AL,02,24.96
1988,AL,03,21.91
1988,AL,04,14.66
1988,AL,05,18.31
1988,AL,06,14.49
1988,AL,07,18.25
1988,AR,01,2.97
1988,AR,02,13.66
1988,AR,03,32.28
1988,AR,04,5.12
1988,AZ,01,31.08
1988,AZ,02,-12.23
1988,AZ,03,29.88
1988,AZ,04,30.66
1988,AZ,05,11.9
1988,CA,01,-12.2
1988,CA,02,18.1
1988,CA,03,0.77
1988,CA,04,3.04
1988,CA,05,-44.02
1988,CA,06,-29.57
1988,CA,07,-7.86
1988,CA,08,-41.2
1988,CA,09,-15.16
1988,CA,10,-11.62
1988,CA,11,-17.31
1988,CA,12,0.29
1988,CA,13,-0.46
1988,CA,14,19.57
1988,CA,15,5.51
1988,CA,16,-9.93
1988,CA,17,18.81
1988,CA,18,-6.94
1988,CA,19,9.42
1988,CA,20,30.62
1988,CA,21,30.11
1988,CA,22,29.36
1988,CA,23,-12.93
1988,CA,24,-31.34
1988,CA,25,-35.88
1988,CA,26,-11.85
1988,CA,27,-10.37
1988,CA,28,-47.1
1988,CA,29,-61.36
1988,CA,30,-6.75
1988,CA,31,-30.43
1988,CA,32,0.8
1988,CA,33,26.15
1988,CA,34,-1.84
1988,CA,35,32.47
1988,CA,36,4.03
1988,CA,37,22.99
1988,CA,38,23.48
1988,CA,39,43.08
1988,CA,40,37.33
1988,CA,41,18.29
1988,CA,42,31.35
1988,CA,43,37.52
1988,CA,44,-4.29
1988,CA,45,33.61
1988,CO,01,-25.58
1988,CO,02,-2.42
1988,CO,03,5.85
1988,CO,04,11.55
1988,CO,05,36.26
1988,CO,06,14.94
1988,CT,01,-11.1
1988,CT,02,1.73
1988,CT,03,0.79
1988,CT,04,14.3
1988,CT,05,18.21
1988,CT,06,7.13
1988,DE,00,12.4
1988,FL,01,46.43
1988,FL,02,19.36
1988,FL,03,19.92
1988,FL,04,28.11
1988,FL,05,38.06
1988,FL,06,22.2
1988,FL,07,16.63
1988,FL,08,11.98
1988,FL,09,20.99
1988,FL,10,32.86
1988,FL,11,41.9
1988,FL,12,29.13
1988,FL,13,35.93
1988,FL,14,6.25
1988,FL,15,6.56
