"","","","2008","","2004","","2000",""
"CD","Incumbent","Party","","","","","",""
"AK-AL","Young, Don","(R)","38","59","36","61","28","59"
"AL-01","Bonner","(R)","39","61","35","64","38","60"
"AL-02","Roby","(R)","36","63","33","67","38","61"
"AL-03","Rogers, Mike D.","(R)","43","56","41","58","47","52"
"AL-04","Aderholt","(R)","23","76","28","71","37","61"
"AL-05","Brooks","(R)","38","61","39","60","44","54"
"AL-06","Bachus","(R)","23","76","22","78","25","74"
"AL-07","Sewell","(D)","72","27","64","35","66","33"
"AR-01","Crawford","(R)","38","59","47","52","50","48"
"AR-02","Griffin","(R)","44","54","48","51","48","49"
"AR-03","Womack","(R)","34","64","36","62","37","60"
"AR-04","Ross, Mike","(D)","39","58","48","51","49","48"
"AZ-01","Gosar","(R)","44","54","46","54","46","51"
"AZ-02","Franks","(R)","38","61","38","61","41","57"
"AZ-03","Quayle","(R)","42","57","41","58","43","55"
"AZ-04","Pastor","(D)","66","33","62","38","63","35"
"AZ-05","Schweikert","(R)","47","52","45","54","43","54"
"AZ-06","Flake","(R)","38","61","35","64","37","61"
"AZ-07","Grijalva","(D)","57","42","57","43","58","38"
"AZ-08","Giffords","(D)","46","52","46","53","46","50"
"CA-01","Thompson, Mike","(D)","66","32","60","38","52","39"
"CA-02","Herger","(R)","43","55","37","62","33","61"
"CA-03","Lungren","(R)","49","49","41","58","41","55"
"CA-04","McClintock","(R)","44","54","37","61","36","59"
"CA-05","Matsui","(D)","70","28","61","38","60","35"
"CA-06","Woolsey","(D)","76","22","70","28","62","30"
"CA-07","Miller, George","(D)","72","27","67","32","66","31"
"CA-08","Pelosi","(D)","85","12","85","14","77","15"
"CA-09","Lee","(D)","88","10","86","13","79","13"
"CA-10","Garamendi","(D)","65","33","59","40","55","41"
"CA-11","McNerney","(D)","54","44","45","54","45","53"
"CA-12","Speier","(D)","74","24","72","27","67","29"
"CA-13","Stark","(D)","74","24","71","28","67","30"
"CA-14","Eshoo","(D)","73","25","68","30","62","34"
"CA-15","Honda","(D)","68","30","63","36","60","36"
"CA-16","Lofgren","(D)","70","29","63","36","64","33"
"CA-17","Farr","(D)","72","26","66","33","60","33"
"CA-18","Cardoza","(D)","59","39","49","50","53","44"
"CA-19","Denham","(R)","46","52","38","61","39","58"
