"District","Incumbent","Party","Biden","Trump","Margin"
"AK-AL","Mary Peltola","(D)","43.0","53.1","-10.1"
"AL-01","Jerry Carl","(R)","35.3","63.6","-28.3"
"AL-02","Barry Moore","(R)","34.8","64.2","-29.4"
"AL-03","Mike Rogers","(R)","32.5","66.6","-34.1"
"AL-04","Robert Aderholt","(R)","18.6","80.4","-61.8"
"AL-05","Dale Strong","(R)","35.6","62.7","-27.1"
"AL-06","Gary Palmer","(R)","34.4","64.4","-29.9"
"AL-07","Terri Sewell","(D)","65.6","33.6","32.0"
"AR-01","Rick Crawford","(R)","28.1","69.0","-40.9"
"AR-02","French Hill","(R)","42.1","55.2","-13.1"
"AR-03","Steve Womack","(R)","36.8","60.2","-23.4"
"AR-04","Bruce Westerman","(R)","31.0","66.2","-35.2"
"AZ-01","David Schweikert","(R)","50.1","48.6","1.5"
"AZ-02","Eli Crane","(R)","45.3","53.2","-7.9"
"AZ-03","Ruben Gallego","(D)","74.5","23.9","50.6"
"AZ-04","Greg Stanton","(D)","54.2","43.9","10.3"
"AZ-05","Andy Biggs","(R)","41.0","57.4","-16.4"
"AZ-06","Juan Ciscomani","(R)","49.3","49.2","0.1"
"AZ-07","Raúl Grijalva","(D)","65.6","32.9","32.8"
"AZ-08","Debbie Lesko","(R)","42.5","56.1","-13.5"
"AZ-09","Paul Gosar","(R)","36.4","62.2","-25.8"
"CA-01","Doug LaMalfa","(R)","39.2","58.3","-19.1"
"CA-02","Jared Huffman","(D)","73.5","24.0","49.5"
"CA-03","Kevin Kiley","(R)","47.9","49.7","-1.8"
"CA-04","Mike Thompson","(D)","67.1","30.5","36.6"
"CA-05","Tom McClintock","(R)","42.7","55.0","-12.3"
"CA-06","Ami Bera","(D)","57.9","39.4","18.4"
"CA-07","Doris Matsui","(D)","67.4","30.3","37.2"
"CA-08","John Garamendi","(D)","76.0","22.0","54.0"
"CA-09","Josh Harder","(D)","55.2","42.6","12.6"
"CA-10","Mark DeSaulnier","(D)","68.6","29.3","39.4"
"CA-11","Nancy Pelosi","(D)","86.3","11.7","74.5"
"CA-12","Barbara Lee","(D)","89.3","8.6","80.7"
"CA-13","John Duarte","(R)","54.3","43.4","10.9"
"CA-14","Eric Swalwell","(D)","71.7","26.2","45.5"
"CA-15","Kevin Mullin","(D)","77.7","20.4","57.3"
"CA-16","Anna Eshoo","(D)","75.4","22.4","53.0"
"CA-17","Ro Khanna","(D)","72.7","25.3","47.4"
"CA-18","Zoe Lofgren","(D)","71.0","26.9","44.1"
"CA-19","Jimmy Panetta","(D)","68.7","29.1","39.6"
"CA-20","Kevin McCarthy","(R)","36.4","61.3","-24.9"
"CA-21","Jim Costa","(D)","59.1","38.8","20.3"
"CA-22","David Valadao","(R)","55.3","42.3","12.9"
"CA-23","Jay Obernolte","(R)","43.9","53.7","-9.8"
"CA-24","Salud Carbajal","(D)","63.3","34.3","29.1"
"CA-25","Raul Ruiz","(D)","56.7","41.4","15.3"
"CA-26","Julia Brownley","(D)","58.9","39.0","20.0"
"CA-27","Mike Garcia","(R)","55.1","42.7","12.4"
"CA-28","Judy Chu","(D)","66.1","31.9","34.2"
"CA-29","Tony Cárdenas","(D)","74.5","23.2","51.3"
"CA-30","Adam Schiff","(D)","72.2","26.0","46.2"
"CA-31","Grace Napolitano","(D)","64.5","33.4","31.1"
"CA-32","Brad Sherman","(D)","69.5","28.7","40.8"
"CA-33","Pete Aguilar","(D)","61.5","36.2","25.3"
"CA-34","Jimmy Gomez","(D)","81.0","16.7","64.2"
"CA-35","Norma Torres","(D)","62.7","35.1","27.6"
"CA-36","Ted Lieu","(D)","71.0","26.9","44.1"
"CA-37","Sydney Kamlager-Dove","(D)","85.7","12.4","73.3"
"CA-38","Linda Sánchez","(D)","64.1","33.9","30.2"
"CA-39","Mark Takano","(D)","62.0","35.8","26.1"
"CA-40","Young Kim","(R)","49.9","48.0","1.9"
"CA-41","Ken Calvert","(R)","48.6","49.7","-1.1"
"CA-42","Robert Garcia","(D)","71.7","25.9","45.8"
"CA-43","Maxine Waters","(D)","80.8","17.0","63.8"
"CA-44","Nanette Barragán","(D)","72.9","24.7","48.2"
"CA-45","Michelle Steel","(R)","52.1","46.0","6.2"
"CA-46","Lou Correa","(D)","64.1","33.7","30.4"
"CA-47","Katie Porter","(D)","54.5","43.4","11.1"
"CA-48","Darrell Issa","(R)","42.7","55.0","-12.3"
"CA-49","Mike Levin","(D)","54.6","43.2","11.4"
"CA-50","Scott Peters","(D)","65.4","32.2","33.1"
"CA-51","Sara Jacobs","(D)","62.5","35.2","27.3"
"CA-52","Juan Vargas","(D)","67.4","30.5","36.9"
"CO-01","Diana DeGette","(D)","79.5","18.2","61.3"
"CO-02","Joe Neguse","(D)","68.7","28.8","39.9"
"CO-03","Lauren Boebert","(R)","44.7","52.9","-8.3"
"CO-04","Ken Buck","(R)","39.5","58.0","-18.6"
"CO-05","Doug Lamborn","(R)","43.1","53.2","-10.1"
"CO-06","Jason Crow","(D)","60.6","36.8","23.8"
"CO-07","Brittany Pettersen","(D)","55.7","41.5","14.2"
"CO-08","Yadira Caraveo","(D)","50.8","46.3","4.6"
"CT-01","John Larson","(D)","63.3","35.2","28.1"
"CT-02","Joe Courtney","(D)","54.7","43.3","11.4"
"CT-03","Rosa DeLauro","(D)","59.2","39.5","19.7"
"CT-04","Jim Himes","(D)","64.8","33.8","31.0"
"CT-05","Jahana Hayes","(D)","54.6","43.9","10.7"
"DE-AL","Lisa Blunt Rochester","(D)","58.8","39.8","19.0"
