cycle,state,district,margin,winner_party
1992,AK,01,3.97,R
1992,AL,01,23.41,R
1992,AL,02,1.57,R
1992,AL,03,-22.97,D
1992,AL,04,-39.47,D
1992,AL,05,-33.65,D
1992,AL,06,7.33,R
1992,AL,07,-52.13,D
1992,AR,01,-39.66,D
1992,AR,02,-48.33,D
1992,AR,03,3.02,R
1992,AR,04,4.67,R
1992,AZ,01,-6.71,D
1992,AZ,02,-35.99,D
1992,AZ,03,27.11,R
1992,AZ,04,32.48,R
1992,AZ,05,36.8,R
1992,AZ,06,-11.65,D
1992,CA,01,-2.55,D
1992,CA,02,37.21,R
1992,CA,03,-10.92,D
1992,CA,04,4.12,R
1992,CA,05,-43.18,D
1992,CA,06,-31.94,D
1992,CA,07,-45.19,D
1992,CA,08,-71.43,D
1992,CA,09,-48.4,D
1992,CA,10,3.95,R
1992,CA,11,1.97,R
1992,CA,12,-45.5,D
1992,CA,13,-28.63,D
1992,CA,14,-17.62,D
1992,CA,15,-32.38,D
1992,CA,16,-30.04,D
1992,CA,17,-48.31,D
1992,CA,18,-84.66,D
1992,CA,19,-0.48,D
1992,CA,20,-29.71,D
1992,CA,21,30.49,R
1992,CA,22,17.58,R
1992,CA,23,12.82,R
1992,CA,24,-16.42,D
1992,CA,25,18.92,R
1992,CA,26,-30.89,D
1992,CA,27,10.22,R
1992,CA,28,21.89,R
1992,CA,29,-35.63,D
1992,CA,30,-34.43,D
1992,CA,31,-25.14,D
1992,CA,32,-87.17,D
1992,CA,33,-32.66,D
1992,CA,34,-27.27,D
1992,CA,35,-68.54,D
1992,CA,36,-6.32,D
1992,CA,37,-85.73,D
1992,CA,38,5.25,R
1992,CA,39,19.07,R
1992,CA,40,32.0,R
1992,CA,41,25.18,R
1992,CA,42,-6.69,D
1992,CA,43,0.28,R
1992,CA,44,14.07,R
1992,CA,45,15.52,R
1992,CA,46,9.23,R
1992,CA,47,34.65,R
1992,CA,48,31.9,R
1992,CA,49,-8.48,D
1992,CA,50,-27.65,D
1992,CA,51,22.43,R
1992,CA,52,11.66,R
1992,CO,01,-37.68,D
1992,CO,02,-28.12,D
1992,CO,03,11.0,R
1992,CO,04,15.68,R
1992,CO,05,45.41,R
1992,CO,06,21.86,R
1992,CT,01,-36.52,D
1992,CT,02,-1.6,D
1992,CT,03,-31.36,D
1992,CT,04,40.6,R
1992,CT,05,12.53,R
1992,CT,06,44.49,R
1992,DE,01,12.9,R
1992,FL,01,-8.13,D
1992,FL,02,-46.91,D
1992,FL,03,-18.58,D
1992,FL,04,13.51,R
1992,FL,05,-5.82,D
1992,FL,06,30.72,R
1992,FL,07,12.96,R
1992,FL,08,37.1,R
1992,FL,09,17.86,R
1992,FL,10,13.16,R
1992,FL,11,-12.2,D
1992,FL,12,4.22,R
1992,FL,13,15.7,R
1992,FL,14,82.06,R
1992,FL,15,-1.35,D
1992,FL,16,21.69,R
1992,FL,17,-100.0,D
1992,FL,18,33.53,R
1992,FL,19,-26.15,D
1992,FL,20,-16.55,D
1992,FL,21,100.0,R
1992,FL,22,14.88,R
1992,FL,23,-27.4,D
1992,GA,01,15.65,R
1992,GA,02,-27.39,D
1992,GA,03,9.52,R
1992,GA,04,1.07,R
1992,GA,05,-44.27,D
1992,GA,06,15.48,R
1992,GA,07,-14.65,D
1992,GA,08,-11.43,D
1992,GA,09,-18.39,D
1992,GA,10,-7.63,D
1992,GA,11,-46.2,D
1992,HI,01,-49.45,D
1992,HI,02,-50.5,D
1992,IA,01,36.91,R
1992,IA,02,1.11,R
1992,IA,03,1.89,R
1992,IA,04,-25.06,D
1992,IA,05,99.28,R
1992,ID,01,-20.59,D
1992,ID,02,25.37,R
1992,IL,01,-65.61,D
1992,IL,02,-64.42,D
1992,IL,03,-27.04,D
1992,IL,04,-55.14,D
1992,IL,05,-18.16,D
1992,IL,06,31.01,R
1992,IL,07,-65.46,D
1992,IL,08,15.28,R
1992,IL,09,-40.96,D
1992,IL,10,29.02,R
1992,IL,11,-11.32,D
1992,IL,12,-42.49,D
1992,IL,13,36.71,R
1992,IL,14,34.69,R
1992,IL,15,18.79,R
1992,IL,16,11.27,R
1992,IL,17,-20.2,D
1992,IL,18,15.55,R
1992,IL,19,-38.28,D
1992,IL,20,-13.01,D
1992,IN,01,-38.85,D
1992,IN,02,-17.57,D
1992,IN,03,-14.89,D
1992,IN,04,-24.12,D
1992,IN,05,2.05,R
1992,IN,06,44.32,R
1992,IN,07,18.96,R
1992,IN,08,-7.21,D
1992,IN,09,-39.35,D
1992,IN,10,-28.95,D
1992,KS,01,39.01,R
1992,KS,02,-15.33,D
1992,KS,03,20.44,R
1992,KS,04,-9.57,D
1992,KY,01,-21.37,D
1992,KY,02,-22.85,D
1992,KY,03,-5.48,D
1992,KY,04,23.28,R
1992,KY,05,9.24,R
1992,KY,06,-21.39,D
1992,LA,01,100.0,R
1992,LA,02,-100.0,D
