cycle,district_cycle,state,district,pvi
1994,2000,AK,01,14.73
1994,2000,AL,01,20.48
1994,2000,AL,02,23.18
1994,2000,AL,03,11.43
1994,2000,AL,04,6.62
1994,2000,AL,05,8.82
1994,2000,AL,06,44.07
1994,2000,AL,07,-37.52
1994,2000,AR,01,-21.39
1994,2000,AR,02,-13.71
1994,2000,AR,03,4.87
1994,2000,AR,04,-20.36
1994,2000,AZ,01,12.25
1994,2000,AZ,02,-17.06
1994,2000,AZ,03,14.39
1994,2000,AZ,04,17.13
1994,2000,AZ,05,1.33
1994,2000,AZ,06,5.67
1994,2000,CA,01,-12.28
1994,2000,CA,02,8.46
1994,2000,CA,03,1.82
1994,2000,CA,04,12.34
1994,2000,CA,05,-14.12
1994,2000,CA,06,-26.54
1994,2000,CA,07,-33.34
1994,2000,CA,08,-53.61
1994,2000,CA,09,-59.97
1994,2000,CA,10,-1.13
1994,2000,CA,11,3.47
1994,2000,CA,12,-24.91
1994,2000,CA,13,-22.94
1994,2000,CA,14,-21.0
1994,2000,CA,15,-10.22
1994,2000,CA,16,-19.48
1994,2000,CA,17,-19.64
1994,2000,CA,18,2.03
1994,2000,CA,19,10.94
1994,2000,CA,20,-3.86
1994,2000,CA,21,19.43
1994,2000,CA,22,-0.09
1994,2000,CA,23,1.62
1994,2000,CA,24,-12.69
1994,2000,CA,25,8.44
1994,2000,CA,26,-26.79
1994,2000,CA,27,-2.1
1994,2000,CA,28,9.04
1994,2000,CA,29,-40.21
1994,2000,CA,30,-32.57
1994,2000,CA,31,-13.74
1994,2000,CA,32,-59.34
1994,2000,CA,33,-33.52
1994,2000,CA,34,-14.14
1994,2000,CA,35,-58.98
1994,2000,CA,36,-0.11
1994,2000,CA,37,-52.11
1994,2000,CA,38,-5.46
1994,2000,CA,39,15.24
1994,2000,CA,40,10.17
1994,2000,CA,41,13.22
1994,2000,CA,42,-7.43
1994,2000,CA,43,5.95
1994,2000,CA,44,0.74
1994,2000,CA,45,15.58
1994,2000,CA,46,8.33
1994,2000,CA,47,20.35
1994,2000,CA,48,20.48
1994,2000,CA,49,-6.23
1994,2000,CA,50,-13.04
1994,2000,CA,51,13.54
1994,2000,CA,52,8.5
1994,2000,CO,01,-24.14
1994,2000,CO,02,-9.07
1994,2000,CO,03,-0.04
1994,2000,CO,04,6.51
1994,2000,CO,05,27.01
1994,2000,CO,06,6.6
1994,2000,CT,01,-13.61
1994,2000,CT,02,-7.35
1994,2000,CT,03,-3.64
1994,2000,CT,04,5.92
1994,2000,CT,05,12.05
1994,2000,CT,06,1.56
1994,2000,DE,01,-2.63
1994,2000,FL,01,30.95
1994,2000,FL,02,2.27
1994,2000,FL,03,-21.44
1994,2000,FL,04,28.53
1994,2000,FL,05,-1.83
1994,2000,FL,06,21.64
1994,2000,FL,07,15.86
1994,2000,FL,08,20.96
1994,2000,FL,09,12.5
1994,2000,FL,10,1.76
1994,2000,FL,11,3.6
1994,2000,FL,12,16.72
1994,2000,FL,13,13.67
1994,2000,FL,14,20.35
1994,2000,FL,15,18.03
1994,2000,FL,16,9.32
1994,2000,FL,17,-48.84
1994,2000,FL,18,29.66
1994,2000,FL,19,-17.95
1994,2000,FL,20,-7.74
1994,2000,FL,21,32.51
1994,2000,FL,22,-1.78
1994,2000,FL,23,-33.6
1994,2000,GA,01,14.53
1994,2000,GA,02,-24.75
1994,2000,GA,03,17.04
1994,2000,GA,04,11.29
1994,2000,GA,05,-36.82
1994,2000,GA,06,31.76
1994,2000,GA,07,13.58
1994,2000,GA,08,10.17
1994,2000,GA,09,19.06
1994,2000,GA,10,13.76
1994,2000,GA,11,-36.84
1994,2000,HI,01,-2.82
1994,2000,HI,02,-8.8
1994,2000,IA,01,-6.27
1994,2000,IA,02,-3.71
1994,2000,IA,03,-3.42
1994,2000,IA,04,1.88
1994,2000,IA,05,9.73
1994,2000,ID,01,16.16
1994,2000,ID,02,22.37
1994,2000,IL,01,-63.05
1994,2000,IL,02,-61.46
1994,2000,IL,03,3.4
1994,2000,IL,04,-36.43
1994,2000,IL,05,-12.61
1994,2000,IL,06,19.13
1994,2000,IL,07,-57.63
1994,2000,IL,08,22.56
1994,2000,IL,09,-28.82
1994,2000,IL,10,3.93
1994,2000,IL,11,-1.84
1994,2000,IL,12,-20.09
1994,2000,IL,13,20.21
1994,2000,IL,14,14.91
1994,2000,IL,15,1.8
1994,2000,IL,16,10.88
1994,2000,IL,17,-5.23
1994,2000,IL,18,4.34
1994,2000,IL,19,-7.27
1994,2000,IL,20,-7.25
1994,2000,IN,01,-16.32
1994,2000,IN,02,13.84
1994,2000,IN,03,9.84
1994,2000,IN,04,20.67
1994,2000,IN,05,19.8
1994,2000,IN,06,39.82
1994,2000,IN,07,20.08
1994,2000,IN,08,2.78
1994,2000,IN,09,5.33
1994,2000,IN,10,-5.68
1994,2000,KS,01,19.81
1994,2000,KS,02,5.73
1994,2000,KS,03,4.83
1994,2000,KS,04,12.62
1994,2000,KY,01,-2.65
1994,2000,KY,02,9.01
1994,2000,KY,03,-7.87
1994,2000,KY,04,10.68
1994,2000,KY,05,-0.44
1994,2000,KY,06,7.0
1994,2000,LA,01,29.74
1994,2000,LA,02,-38.12
1994,2000,LA,03,2.12
1994,2000,LA,04,-35.26
1994,2000,LA,05,17.36
1994,2000,LA,06,21.69
1994,2000,LA,07,-3.22
1994,2000,MA,01,-15.73
1994,2000,MA,02,-11.58
1994,2000,MA,03,-8.61
1994,2000,MA,04,-18.79
1994,2000,MA,05,-4.67
1994,2000,MA,06,-6.59
1994,2000,MA,07,-15.23
1994,2000,MA,08,-42.22
1994,2000,MA,09,-11.04
1994,2000,MA,10,-4.44
1994,2000,MD,01,11.9
1994,2000,MD,02,13.92
1994,2000,MD,03,-15.74
1994,2000,MD,04,-49.55
1994,2000,MD,05,0.48
1994,2000,MD,06,19.86
1994,2000,MD,07,-56.06
1994,2000,MD,08,-12.21
1994,2000,ME,01,-2.52
1994,2000,ME,02,-3.16
1994,2000,MI,01,-0.7
1994,2000,MI,02,16.83
1994,2000,MI,03,17.86
1994,2000,MI,04,4.85
1994,2000,MI,05,-7.02
1994,2000,MI,06,4.2
1994,2000,MI,07,5.32
1994,2000,MI,08,0.77
1994,2000,MI,09,-4.1
1994,2000,MI,10,11.06
1994,2000,MI,11,15.58
1994,2000,MI,12,4.15
1994,2000,MI,13,-9.73
1994,2000,MI,14,-58.64
1994,2000,MI,15,-64.31
1994,2000,MI,16,-1.59
1994,2000,MN,01,1.52
1994,2000,MN,02,3.64
1994,2000,MN,03,2.14
1994,2000,MN,04,-18.32
1994,2000,MN,05,-29.07
1994,2000,MN,06,-0.49
1994,2000,MN,07,5.29
1994,2000,MN,08,-14.44
1994,2000,MO,01,-43.61
1994,2000,MO,02,9.38
1994,2000,MO,03,-6.93
1994,2000,MO,04,6.27
1994,2000,MO,05,-20.53
1994,2000,MO,06,-2.15
1994,2000,MO,07,13.96
1994,2000,MO,08,-3.01
1994,2000,MO,09,-1.7
1994,2000,MS,01,13.64
1994,2000,MS,02,-15.48
1994,2000,MS,03,30.29
1994,2000,MS,04,14.69
1994,2000,MS,05,27.97
1994,2000,MT,01,3.05
1994,2000,NC,01,-25.74
1994,2000,NC,02,10.66
1994,2000,NC,03,13.43
1994,2000,NC,04,-2.17
1994,2000,NC,05,6.15
1994,2000,NC,06,24.48
1994,2000,NC,07,4.84
1994,2000,NC,08,7.99
1994,2000,NC,09,25.27
1994,2000,NC,10,27.1
1994,2000,NC,11,5.08
1994,2000,NC,12,-34.75
1994,2000,ND,01,17.59
1994,2000,NE,01,16.15
1994,2000,NE,02,20.55
1994,2000,NE,03,31.6
1994,2000,NH,01,6.76
1994,2000,NH,02,1.9
1994,2000,NJ,01,-10.79
1994,2000,NJ,02,3.95
1994,2000,NJ,03,5.24
1994,2000,NJ,04,7.28
1994,2000,NJ,05,21.28
1994,2000,NJ,06,0.61
1994,2000,NJ,07,9.01
1994,2000,NJ,08,2.44
1994,2000,NJ,09,-2.27
1994,2000,NJ,10,-45.18
1994,2000,NJ,11,24.37
1994,2000,NJ,12,8.6
1994,2000,NJ,13,-11.85
1994,2000,NM,01,-1.45
1994,2000,NM,02,4.46
1994,2000,NM,03,-11.81
1994,2000,NV,01,-6.99
1994,2000,NV,02,11.04
1994,2000,NY,01,7.25
1994,2000,NY,02,6.14
1994,2000,NY,03,3.84
1994,2000,NY,04,0.13
1994,2000,NY,05,-11.45
1994,2000,NY,06,-51.65
1994,2000,NY,07,-15.2
1994,2000,NY,08,-54.5
1994,2000,NY,09,-20.81
1994,2000,NY,10,-65.07
1994,2000,NY,11,-71.74
1994,2000,NY,12,-36.87
1994,2000,NY,13,14.12
1994,2000,NY,14,-40.68
1994,2000,NY,15,-69.65
1994,2000,NY,16,-60.52
1994,2000,NY,17,-51.19
1994,2000,NY,18,-4.23
1994,2000,NY,19,7.49
1994,2000,NY,20,1.88
1994,2000,NY,21,-8.61
1994,2000,NY,22,11.41
1994,2000,NY,23,8.36
1994,2000,NY,24,6.11
1994,2000,NY,25,0.65
1994,2000,NY,26,-3.99
1994,2000,NY,27,14.79
1994,2000,NY,28,-0.16
1994,2000,NY,29,-0.89
1994,2000,NY,30,-12.01
1994,2000,NY,31,11.65
1994,2000,OH,01,5.5
1994,2000,OH,02,29.64
1994,2000,OH,03,4.23
1994,2000,OH,04,21.31
1994,2000,OH,05,13.02
1994,2000,OH,06,6.64
1994,2000,OH,07,16.95
1994,2000,OH,08,23.4
1994,2000,OH,09,-9.17
1994,2000,OH,10,-0.1
1994,2000,OH,11,-51.53
1994,2000,OH,12,6.52
1994,2000,OH,13,3.4
1994,2000,OH,14,-8.86
1994,2000,OH,15,15.09
1994,2000,OH,16,7.0
1994,2000,OH,17,-18.71
1994,2000,OH,18,-3.39
1994,2000,OH,19,2.98
1994,2000,OK,01,25.19
1994,2000,OK,02,-1.07
1994,2000,OK,03,-2.22
1994,2000,OK,04,14.03
1994,2000,OK,05,32.29
1994,2000,OK,06,14.15
1994,2000,OR,01,-6.52
1994,2000,OR,02,8.88
1994,2000,OR,03,-21.23
1994,2000,OR,04,-4.55
1994,2000,OR,05,0.99
1994,2000,PA,01,-48.27
1994,2000,PA,02,-60.43
1994,2000,PA,03,-15.14
1994,2000,PA,04,-11.7
1994,2000,PA,05,10.82
1994,2000,PA,06,10.74
1994,2000,PA,07,10.19
1994,2000,PA,08,4.64
1994,2000,PA,09,20.61
1994,2000,PA,10,8.86
1994,2000,PA,11,2.17
1994,2000,PA,12,-8.11
1994,2000,PA,13,1.44
1994,2000,PA,14,-26.21
1994,2000,PA,15,0.59
1994,2000,PA,16,21.69
1994,2000,PA,17,23.88
1994,2000,PA,18,-15.84
1994,2000,PA,19,18.92
1994,2000,PA,20,-16.12
1994,2000,PA,21,-4.95
1994,2000,RI,01,-14.45
1994,2000,RI,02,-10.65
1994,2000,SC,01,25.64
1994,2000,SC,02,21.78
1994,2000,SC,03,22.16
1994,2000,SC,04,27.3
1994,2000,SC,05,8.14
1994,2000,SC,06,-24.97
1994,2000,SD,01,9.08
1994,2000,TN,01,20.66
1994,2000,TN,02,12.28
1994,2000,TN,03,5.54
1994,2000,TN,04,-2.31
1994,2000,TN,05,-10.07
1994,2000,TN,06,-1.74
1994,2000,TN,07,15.57
1994,2000,TN,08,-0.05
1994,2000,TN,09,-30.73
1994,2000,TX,01,5.0
1994,2000,TX,02,-1.58
1994,2000,TX,03,32.86
1994,2000,TX,04,18.44
1994,2000,TX,05,-0.56
1994,2000,TX,06,27.72
1994,2000,TX,07,41.11
1994,2000,TX,08,37.47
1994,2000,TX,09,-2.43
1994,2000,TX,10,-10.97
1994,2000,TX,11,10.5
1994,2000,TX,12,2.55
1994,2000,TX,13,12.5
1994,2000,TX,14,9.11
1994,2000,TX,15,-12.85
1994,2000,TX,16,-10.04
1994,2000,TX,17,11.63
1994,2000,TX,18,-38.15
1994,2000,TX,19,42.26
1994,2000,TX,20,-8.34
1994,2000,TX,21,31.94
1994,2000,TX,22,28.77
1994,2000,TX,23,4.47
1994,2000,TX,24,-2.38
1994,2000,TX,25,-5.62
1994,2000,TX,26,31.6
1994,2000,TX,27,-6.38
1994,2000,TX,28,-19.25
1994,2000,TX,29,-15.95
1994,2000,TX,30,-35.4
1994,2000,UT,01,31.76
1994,2000,UT,02,13.06
1994,2000,UT,03,29.13
1994,2000,VA,01,21.28
1994,2000,VA,02,18.24
1994,2000,VA,03,-33.99
1994,2000,VA,04,12.4
1994,2000,VA,05,11.54
1994,2000,VA,06,17.61
1994,2000,VA,07,29.92
1994,2000,VA,08,-8.42
1994,2000,VA,09,3.12
1994,2000,VA,10,22.12
1994,2000,VA,11,6.05
1994,2000,VT,01,-10.14
1994,2000,WA,01,-4.41
1994,2000,WA,02,-1.15
1994,2000,WA,03,-3.29
1994,2000,WA,04,13.4
1994,2000,WA,05,1.75
1994,2000,WA,06,-6.23
1994,2000,WA,07,-41.55
1994,2000,WA,08,1.61
1994,2000,WA,09,-5.44
1994,2000,WI,01,-0.09
1994,2000,WI,02,-13.0
1994,2000,WI,03,-4.85
1994,2000,WI,04,2.99
1994,2000,WI,05,-20.37
1994,2000,WI,06,11.75
1994,2000,WI,07,-3.09
1994,2000,WI,08,10.33
1994,2000,WI,09,23.89
1994,2000,WV,01,-5.66
1994,2000,WV,02,-0.42
1994,2000,WV,03,-17.6
1994,2000,WY,01,11.14
1998,2000,AK,01,22.27
1998,2000,AL,01,21.66
1998,2000,AL,02,25.85
1998,2000,AL,03,12.71
1998,2000,AL,04,11.05
1998,2000,AL,05,12.48
1998,2000,AL,06,47.45
1998,2000,AL,07,-37.69
1998,2000,AR,01,-18.33
1998,2000,AR,02,-11.12
1998,2000,AR,03,8.22
1998,2000,AR,04,-20.29
1998,2000,AZ,01,10.17
1998,2000,AZ,02,-23.58
1998,2000,AZ,03,14.7
1998,2000,AZ,04,14.56
1998,2000,AZ,05,3.78
1998,2000,AZ,06,5.8
1998,2000,CA,01,-6.94
1998,2000,CA,02,18.34
1998,2000,CA,03,5.74
1998,2000,CA,04,18.76
1998,2000,CA,05,-14.54
1998,2000,CA,06,-22.04
1998,2000,CA,07,-32.45
1998,2000,CA,08,-44.21
1998,2000,CA,09,-55.98
1998,2000,CA,10,1.56
1998,2000,CA,11,6.54
1998,2000,CA,12,-35.34
1998,2000,CA,13,-25.15
1998,2000,CA,14,-19.33
1998,2000,CA,15,-9.39
1998,2000,CA,16,-22.4
1998,2000,CA,17,-16.21
1998,2000,CA,18,5.82
1998,2000,CA,19,17.37
1998,2000,CA,20,-3.31
1998,2000,CA,21,26.85
1998,2000,CA,22,5.78
1998,2000,CA,23,3.75
1998,2000,CA,24,-8.71
1998,2000,CA,25,12.64
1998,2000,CA,26,-30.19
1998,2000,CA,27,-0.7
1998,2000,CA,28,7.89
1998,2000,CA,29,-36.37
1998,2000,CA,30,-39.32
1998,2000,CA,31,-25.29
1998,2000,CA,32,-60.27
1998,2000,CA,33,-49.31
1998,2000,CA,34,-23.23
1998,2000,CA,35,-62.59
1998,2000,CA,36,2.11
1998,2000,CA,37,-57.54
1998,2000,CA,38,-7.53
1998,2000,CA,39,15.39
1998,2000,CA,40,16.47
1998,2000,CA,41,12.29
1998,2000,CA,42,-8.71
